X,Y,id_0,id,jenis_acc,jenis_acc2,jenis_acc_,jenis acc,kondisi ac,diameter a,pembiaya a,alamat acc,sistem pel,lokasi acc,foto acc,status cc,material a,th. pasang,icon_url
115.119866067479,-8.50991638377457,"1","524","CI Air Valve Double Ball 1""",,,Air Valve,,,,,MA Riang Gede Gravitasi,"Sipon Pipa 6""",,,,,./0.png
115.119493750887,-8.51072250570397,"2","526","CI Air Valve Double Ball 1""",,,Air Valve,,,,,MA Riang Gede Gravitasi,30m Kurang Lebih Selatan Perum Dewi Sri,,,,,./0.png
115.118730562135,-8.51338590201681,"3","527","CI Air Valve Double Ball 1""",,,Air Valve,,,,,MA Riang Gede Gravitasi,Timur Leneng Selatan Menuju Riang Ancut,,,,,./0.png
115.118829526325,-8.51391196980828,"4","528","CI Air Valve Single Ball 1""",,,Air Valve,,,,,MA Riang Gede Gravitasi,3m Utara Tapal Batas,,,,,./0.png
115.118706290288,-8.51848241783994,"5","533","CI Air Valve Double Ball 2""",,,Air Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.110079832974,-8.53414141231412,"6","705","CI Air Valve Single Ball 1""",,,Air Valve,,,,,SIstem Trans Distribusi MA Riang Gede,,,,,,./0.png
115.028515324613,-8.43326558068536,"7","940","CI Air Valve Single Ball 1""",,,Air Valve,,,,,MA MEKORI,,,,,,./0.png
115.032552958552,-8.41180654894105,"8","941","CI Air Valve Single Ball 1""",,,Air Valve,,,,,MA MEKORI,,,,,,./0.png
115.024439744007,-8.45388023057932,"9","946",CI Air Valve Single Ball,,,Air Valve,,,,,MA MEKORI,,,,,,./0.png
115.021104143546,-8.47457544910363,"10","949","CI Air Valve All Flanges Single Ball 1""",,,Air Valve,,,,,MA MEKORI,Bale Banjar Anyar,,,,,./0.png
115.152247822068,-8.54629587061245,"11","1599","CI Air Valve Double Ball 1""",,,Air Valve,,,,,MA Dedari,,,,,,./0.png
115.164064463086,-8.53825949186616,"12","1738","CI Air Valve Double Ball 2""",,,Air Valve,,,,,MA Dedari Gravitasi,,,,,,./0.png
115.159875958954,-8.53458531191847,"13","1739","CI Air Valve Double Ball 2""",,,Air Valve,,,,,MA Dedari Gravitasi,,,,,,./0.png
115.140047968301,-8.53423325399245,"14","1760","CI Air Valve Double Ball 2""","CI Gate Valve 2""",,Air Valve,,,,Jl. Tukad Yeh Ho,Pompa 75kw (MA Dedari),Rumah Nomor 4 Dari Utara Pertigaan (Tengah),,,,16 Juli 2022,./0.png
115.137265692506,-8.54567812365862,"15","1761","CI Air Valve Double Ball 2""","CI Gate Valve All Flanges 2""",,Air Valve,,,,,Pompa 37kw (MA Dedari),Selatan Dinas Kebudayaan Kab. Tabanan,,,,15 Juli 2022,./0.png
115.141387882873,-8.52419361163731,"16","1762","CI Air Valve Double Ball 2""",,,Air Valve,,,,Perum Andika Graha,Pompa 75kw (MA Dedari),Selatan Rumah Cukong,,,,15 Juli 2022,./0.png
115.139005485224,-8.54289478610232,"17","1763","CI Air Falve Single Ball 1""",,,Air Valve,,,,,Pompa 75kw (MA Dedari),Jembatan Air Sanggulan,,,,15 Juli 2022,./0.png
115.143188075208,-8.41635059561456,"18","1951",CI Air Valve Single Ball,,,Air Valve,,,,,MA. Katos,Dsn. Ubung,,,,,./0.png
115.136011633258,-8.42616446609598,"19","1967","CI Air Valve SIngle Ball 1"" Untuk HDPE 4""",,,Air Valve,,,,,MA. Katos,Dsn. Asah,,,,,./0.png
115.136533177592,-8.42268384846696,"20","1973","CI Air Valve Single Ball 1""",,,Air Valve,,,,,MA. Katos,Balai Subak Dsn. Asah,,,,,./0.png
