X,Y,id_0,id,jenis_acc,jenis_acc2,jenis_acc_,jenis acc,kondisi ac,diameter a,pembiaya a,alamat acc,sistem pel,lokasi acc,foto acc,status cc,material a,th. pasang,icon_url
115.162850440318,-8.49398869846806,"110","2394",,,PVC Bend AS 8''x90',Bend,,,,,,Tugu,,,,,./0.png
115.202802959802,-8.39721156786838,"1","162","PVC Bend All Sockets 2""x90'",,,Bend,,,,,MA Temacun Gravitasi,,,,,,./0.png
115.20660339264,-8.40843723003954,"2","171","PVC Bend All Sockets 4""x45'",,,Bend,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.206637631425,-8.4084430899941,"3","172","PVC Bend All Sockets 4""x45'",,,Bend,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.206302251987,-8.43225809301869,"4","185","PVC Bend All Sockets 3""x90'",,,Bend,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.204108418606,-8.43192589261518,"5","190","PVC Bend All Sockets 2""x90'",,,Bend,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.212695367142,-8.43711008761846,"6","220","PVC Bend All Sockets 3""x90'",,,Bend,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.212707437111,-8.43707432168182,"7","221","PVC Bend All Sockets 3""x90'",,,Bend,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.175394216663,-8.29877485806979,"8","390","PVC Bend All Sockets 6"" x 90",,,Bend,,,,,IPA Candi Kuning Pompa 55 Kw,Resevoir Taman Tanda,,,,,./0.png
115.175360951626,-8.29874404107503,"9","393","PVC Bend All Sockets 6""x90'",,,Bend,,,,,IPA Candi Kuning Pompa 55 Kw,Resevoir Taman Tanda,,,,,./0.png
115.113990810766,-8.52373443040384,"10","519","PVC Bend RRJ 3""x90'",,,Bend,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.118680856342,-8.51214910798337,"11","523","PVC Bend RRJ 3""x90'",,,Bend,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.11155710801,-8.52965681458907,"12","607","PVC Bend All Sockets 2""x90'",,,Bend,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.108558400299,-8.53330739718717,"13","633","CI Bend Las 2""",,,Bend,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.10806477501,-8.53401016010304,"14","650","PVC Bend All Sockets 2""x90'",,,Bend,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.108227938007,-8.53413191462313,"15","651","PVC Bend All Sockets 2""x90'",,,Bend,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.108110183309,-8.53442929271197,"16","652","PVC Bend All Sockets 2""x90'",,,Bend,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.107514621111,-8.53365787238329,"17","653","PVC Bend All Sockets 2""x90'",,,Bend,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.107399971931,-8.54039592429694,"18","667","PVC Bend All Sockets 3""x90'",,,Bend,,,,,MA Riang Gede Gravitasi,,,,,"2017",./0.png
115.107362067557,-8.54048609234789,"19","668","PVC Bend All Sockets 3""x90'",,,Bend,,,,,MA Riang Gede Gravitasi,,,,,"2017",./0.png
115.102859743694,-8.5435485609686,"20","685","PVC Bend All Sockets 2""x90'",,,Bend,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.005214826491,-8.31517532952383,"21","789","PVC Bend All Sockets 3""x90'",,,Bend,,,,,MA. Yeh Ae Pompa 30kw,,,,,,./0.png
115.005177674691,-8.31519064595763,"22","790","PVC Bend All Sockets 3""x90'",,,Bend,,,,,MA. Yeh Ae Pompa 30kw,,,,,,./0.png
115.005394758326,-8.31616151220941,"23","802","PVC Bend All Sockets 2""x90'",,,Bend,,,,,MA. Yeh Ae Gravitasi,,,,,,./0.png
115.026801659301,-8.49050403761917,"24","844","PVC Bend All Sockets 3""x90""",,,Bend,,,,,MA PANGKUNG KIDANG & RESV. MENUNGGUL,,,,,,./0.png
115.021547487683,-8.53662809600714,"25","869","PVC Bend All Sockets 2""x90'",,,Bend,,,,,GABUNGAN MA. KIKIHAN DAN MA. PANGKUNG KIDANG,,,,,,./0.png
115.020298215931,-8.49789109638725,"26","1003","PVC Bend All Sockets 2""x90'",,,Bend,,,,,MA MEKORI,,,,,,./0.png
115.021232545855,-8.49506144793469,"27","1008","PVC Bend All Sockets 2""x90'",,,Bend,,,,,MA MEKORI,,,,,,./0.png
115.021652540434,-8.48789862330484,"28","1011","PVC Bend 2""x90'",,,Bend,,,,,MA MEKORI,10m Selatan Tiang Listrik,,,,,./0.png
115.021691227315,-8.48791173344394,"29","1012","PVC Bend 2""x90'",,,Bend,,,,,MA MEKORI,,,,,,./0.png
115.035666816471,-8.40863364500537,"30","1013","PVC Bend 6""x90'",,,Bend,,,,,MA MEKORI,,,,,,./0.png
115.037112996793,-8.40497359977567,"31","1023","PVC Bend 6""x90'",,,Bend,,,,,MA MEKORI,,,,,,./0.png
115.037067608289,-8.40497416712852,"32","1024","PVC Bend 6""x90'",,,Bend,,,,,MA MEKORI,,,,,,./0.png
115.202802959802,-8.39721156786838,"33","1196","PVC Bend All Sockets 2""x90'",,,Bend,,,,,MA Temacun Gravitasi,,,,,,./0.png
115.20660339264,-8.40843723003954,"34","1205","PVC Bend All Sockets 4""x45'",,,Bend,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.206637631425,-8.4084430899941,"35","1206","PVC Bend All Sockets 4""x45'",,,Bend,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.206302251987,-8.43225809301869,"36","1219","PVC Bend All Sockets 3""x90'",,,Bend,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.204108418606,-8.43192589261518,"37","1224","PVC Bend All Sockets 2""x90'",,,Bend,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.212695367142,-8.43711008761846,"38","1254","PVC Bend All Sockets 3""x90'",,,Bend,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.212707437111,-8.43707432168182,"39","1255","PVC Bend All Sockets 3""x90'",,,Bend,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.121661407535,-8.5347157589618,"40","1378","PVC Bend All Sockets 2""x90'",,,Bend,,,Perumda TAB,Jl. Nuri,MA. Gembrong,,,,,3 September 2020,./0.png
115.121885859309,-8.53512854388969,"41","1381","PVC Bend All Sockets 2""x90'",,,Bend,,,Perumda TAB,Jl. Nuri,MA. Gembrong,,,,,3 September 2020,./0.png
115.144999809273,-8.50512800234138,"42","1644","PVC Bend All Sockets 3""x90'",,,Bend,,,,,,,,,,,./0.png
115.139749366082,-8.5960145509169,"43","1792","PVC Bend All Sockets 2""x90'",,,Bend,,,Perumda TAB,,,,,,,5 Februari,./0.png
115.139770284385,-8.59604798538719,"44","1802","PVC Bend All Sockets 2""x90'",,,Bend,,,Perumda TAB,,,,,,,5 Februari 2023,./0.png
115.136637634675,-8.52362142320583,"45","1846","PVC Bend All Sockets 2""",,,Bend,,,Perumda TAB,Jln. Majapahit,MA. Gangsang Gravitasi,,,,,16 Pebruari 2023,./0.png
115.136639918263,-8.52362236863861,"46","1847","PVC Bend All Sockets 2""",,,Bend,,,Perumda TAB,Jln. Majapahit,MA. Gangsang Gravitasi,,,,,16 Pebruari 2023,./0.png
115.141888456958,-8.58867592821827,"47","1857",PVC Bend AS 2''x90',,,Bend,,,,,MA. BEJI MUMBUL,Tikungan Jalan,,,,,./0.png
115.1401394429,-8.58921083326339,"48","1862",PVC Bend AS 2''x90',,,Bend,,,,,MA. BEJI MUMBUL,Tikungan Jalan,,,,,./0.png
115.140437791947,-8.58895118194079,"49","1864",PVC Bend AS 2''x90',,,Bend,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.13842164564,-8.5936740732215,"50","1876",PVC Bend AS 2''x90',,,Bend,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.139088757536,-8.59263123661078,"51","1877",PVC Bend AS 3''x90',,,Bend,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.139008924816,-8.59259477360269,"52","1878",PVC Bend AS 3''x90',,,Bend,,,,,MA. BEJI MUMBUL,Tikungan Jalan,,,,,./0.png
115.14360152588,-8.58566289062224,"53","1890",PVC Bend AS 3''x90',,,Bend,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.14260671771,-8.58498988898136,"54","1894",PVC Bend AS 3''x90',,,Bend,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.141116901574,-8.5874682481236,"55","1902",PVC Bend AS 3''x90',,,Bend,,,,,MA. BEJI MUMBUL,Tikungan Jalan,,,,,./0.png
115.141743282314,-8.41617159761396,"56","1931","PVC Bend AS 2"" x 90'",,,Bend,,,,,MA. Katos Gravitasi,Tikungan Jln. Dsn. Taman,,,,,./0.png
115.141739485478,-8.41660978497447,"57","1932","PVC Bend AS 2"" x 90'",,,Bend,,,,,MA. Katos Gravitasi,Tikungan Jln. Dsn. Taman,,,,,./0.png
