X,Y,id_0,id,jenis_acc,jenis_acc2,jenis_acc_,jenis acc,kondisi ac,diameter a,pembiaya a,alamat acc,sistem pel,lokasi acc,foto acc,status cc,material a,th. pasang,icon_url
115.159337334885,-8.28657429409154,"1","7","PVC Dop 2""",,,DOP,,,,,WTP Bukit Catu,,,,,,./0.png
115.160752919626,-8.28559250490459,"2","8","PVC Dop 3""",,,DOP,,,,,WTP Bukit Catu,,,,,,./0.png
115.160810724713,-8.28550480069457,"3","13","PVC Dop 4""",,,DOP,,,,,WTP Bukit Catu,,,,,,./0.png
115.164003932329,-8.27465757322599,"4","16","PVC Dop 3""",,,DOP,,,,,WTP Bukit Catu,,,,,,./0.png
115.162739732255,-8.28199262486647,"5","18","PVC Dop 4""",,,DOP,,,,,WTP Bukit Catu,,,,,,./0.png
115.159513619254,-8.27472350998904,"6","20","PVC Dop 2""",,,DOP,,,,,WTP Bukit Catu,,,,,,./0.png
115.16347189229,-8.27635606851896,"7","23","PVC Dop 2""",,,DOP,,,,,WTP Bukit Catu,,,,,,./0.png
115.163852017644,-8.27656310506728,"8","25","PVC Dop 2""",,,DOP,,,,,WTP Bukit Catu,,,,,,./0.png
115.158305252822,-8.28509864133495,"9","31","PVC Dop 2""",,,DOP,,,,,WTP Bukit Catu,,,,,,./0.png
115.15692497349,-8.28225411235256,"10","34","PVC Dop 1""",,,DOP,,,,,WTP Bukit Catu,,,,,,./0.png
115.160446323378,-8.28337734207144,"11","44","PVC Dop 1""",,,DOP,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.159288537727,-8.28362030541513,"12","45","PVC Dop 1""",,,DOP,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.158766789317,-8.28287607135454,"13","47","PVC Dop 1""",,,DOP,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.15765037619,-8.28300103046138,"14","49","PVC Dop 1""",,,DOP,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.158075250117,-8.28091594302016,"15","55","PVC Dop 2""",,,DOP,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.160866090574,-8.28041618626569,"16","60","PVC Dop 2""",,,DOP,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.158284528892,-8.27997430947366,"17","62","PVC Dop 2""",,,DOP,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.158384112857,-8.27931378371146,"18","64","PVC Dop 2""",,,DOP,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
