X,Y,id_0,id,jenis_acc,jenis_acc2,jenis_acc_,jenis acc,kondisi ac,diameter a,pembiaya a,alamat acc,sistem pel,lokasi acc,foto acc,status cc,material a,th. pasang,icon_url
115.127992547776,-8.5559531862679,"1","1375","CI Giboult Joint 2""",,,Giboult Joint,,,Perumda TAB,,MA. Dedari,,,,,4 September 2020,./0.png
115.127980361754,-8.55594669251263,"2","1376","CI Giboult Joint 2""",,,Giboult Joint,,,Perumda TAB,,MA. Dedari,,,,,4 September 2020,./0.png
115.1216490441,-8.53469784181333,"3","1379","CI Giboult Joint 2""",,,Giboult Joint,,,Perumda TAB,Jl. Nuri,MA. Gembrong,,,,,3 September 2020,./0.png
115.121642582831,-8.53470505783516,"4","1380","CI Giboult Joint 2""",,,Giboult Joint,,,Perumda TAB,Jl. Nuri,MA. Gembrong,,,,,3 September 2020,./0.png
115.114068395125,-8.53873255003906,"5","1386","CI Giboult Joint 3""",,,Giboult Joint,,,Perumda TAB,Jl. Pulau Nias,MA Riang Gede,,,,,7 Oktober 2020,./0.png
115.114070083551,-8.53872712929393,"6","1387","CI Giboult Joint 3""",,,Giboult Joint,,,Perumda TAB,Jl. Pulau Nias,MA Riang Gede,,,,,7 Oktober 2020,./0.png
115.114017874644,-8.53871493961252,"7","1388","CI Giboult Joint 2""",,,Giboult Joint,,,Perumda TAB,Jl. Pulau Nias,MA Riang Gede,,,,,7 Oktober 2020,./0.png
115.114006501321,-8.53871177416679,"8","1389","CI Giboult Joint 2""",,,Giboult Joint,,,Perumda TAB,Jl. Pulau Nias,MA Riang Gede,,,,,7 Oktober 2020,./0.png
115.109707759764,-8.60740804614819,"9","1392","CI Giboult Joint 4""",,,Giboult Joint,,,Perumda TAB,,IPA Nyanyi,,,,,1 Oktober 2020,./0.png
115.109717062379,-8.60741366436386,"10","1393","CI Giboult Joint 4""",,,Giboult Joint,,,Perumda TAB,,IPA Nyanyi,,,,,1 Oktober 2020,./0.png
115.109736551481,-8.60736700544762,"11","1395","CI Giboult Joint 3""",,,Giboult Joint,,,Perumda TAB,,IPA Nyanyi,,,,,1 Oktober 2020,./0.png
115.109703318753,-8.60587026916096,"12","1398","CI Giboult Joint 3""",,,Giboult Joint,,,Perumda TAB,,IPA Nyanyi,,,,,1 Oktober 2020,./0.png
115.109722560324,-8.60588741289186,"13","1399","CI Giboult Joint 3""",,,Giboult Joint,,,Perumda TAB,,IPA Nyanyi,,,,,1 Oktober 2020,./0.png
115.148441318199,-8.53912762019116,"14","1402","CI Giboult Joint 6""",,,Giboult Joint,,,Perumda TAB,,MA Dedari,Perum Griya Tanah Bang,,,,28 Agustus 2020,./0.png
115.148469985451,-8.53914115675758,"15","1403","CI Giboult Joint 6""",,,Giboult Joint,,,Perumda TAB,,MA Dedari,Perum Griya Tanah Bang,,,,28 Agustus 2020,./0.png
115.148871967065,-8.53930726456834,"16","1406","CI Giboult Joint 8""",,,Giboult Joint,,,Perumda TAB,,MA Dedari,Perum Taman Sari,,,,28 Agustus 2020,./0.png
115.148889270868,-8.53931388270208,"17","1407","CI Giboult Joint 8""",,,Giboult Joint,,,Perumda TAB,,MA Dedari,Perum Taman Sari,,,,28 Agustus 2020,./0.png
115.133445436731,-8.53318627247299,"18","1408","CI Giboult Joint 3""",,,Giboult Joint,,,Perumda TAB,Jl. Diponogoro,MA Gangsang,,,,,5 Oktober 2020,./0.png
115.13344963654,-8.5331754771735,"19","1409","CI Giboult Joint 3""",,,Giboult Joint,,,Perumda TAB,Jl. Diponogoro,MA Gangsang,,,,,5 Oktober 2020,./0.png
115.129637667079,-8.50830614727048,"20","1433","CI Giboult Joint 2""",,,Giboult Joint,,,Perumda TAB,,MA Gembrong,,,,,19 Agustus 2020,./0.png
115.123241514367,-8.53570528495887,"21","1435","CI Giboult Joint 4""",,,Giboult Joint,,,Perumda TAB,Jl. Cendrawasih,MA Gembrong,,,,,26 Agustus 2020,./0.png
115.123236957418,-8.53571742151146,"22","1436","CI Giboult Joint 4""",,,Giboult Joint,,,Perumda TAB,Jl. Cendrawasih,MA Gembrong,,,,,26 Agustus 2020,./0.png
115.124537470553,-8.52959411342472,"23","1441","CI Giboult Joint 8""",,,Giboult Joint,,,Perumda TAB,Jl. Gelatik,MA Gembrong,,,,,31 Agustus 2020,./0.png
115.124536165376,-8.5295978637269,"24","1442","CI Giboult Joint 8""",,,Giboult Joint,,,Perumda TAB,Jl. Gelatik,MA Gembrong,,,,,31 Agustus 2020,./0.png
115.145634193836,-8.60124851049853,"25","1446","CI Giboult Joint 6""",,,Giboult Joint,,,Perumda TAB,,MA Beji Mumbul,,,,,27 Juli 2020,./0.png
115.14563392612,-8.60126286918629,"26","1447","CI Giboult Joint 6""",,,Giboult Joint,,,Perumda TAB,,MA Beji Mumbul,,,,,27 Juli 2020,./0.png
115.145694199378,-8.60125848343803,"27","1449","CI Giboult Joint 2""",,,Giboult Joint,,,Perumda TAB,,MA Beji Mumbul,,,,,27 Juli 2020,./0.png
