X,Y,id_0,id,jenis_acc,jenis_acc2,jenis_acc_,jenis acc,kondisi ac,diameter a,pembiaya a,alamat acc,sistem pel,lokasi acc,foto acc,status cc,material a,th. pasang,icon_url
115.16174877166,-8.28362260929342,"1","10","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,WTP Bukit Catu,,,,,,./0.png
115.164968903044,-8.27697558916432,"2","17","PVC Reducer 4""x3""",,,Reducer,,,,,WTP Bukit Catu,,,,,,./0.png
115.159530916662,-8.28419628049679,"3","29","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,WTP Bukit Catu,,,,,,./0.png
115.157808873221,-8.28319237034854,"4","32","PVC Reducer All Sockets 2""x1""",,,Reducer,,,,,WTP Bukit Catu,,,,,,./0.png
115.154810702621,-8.28375545085211,"5","37","PVC Reducer All Sockets 2""x1""",,,Reducer,,,,,WTP Bukit Catu,,,,,,./0.png
115.155795746233,-8.28496526218097,"6","38","PVC Reducer All Sockets 2""x1""",,,Reducer,,,,,WTP Bukit Catu,,,,,,./0.png
115.159876159121,-8.2836084386145,"7","41","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.159718147862,-8.27909009057605,"8","66","PVC Reducer 3""x2""",,,Reducer,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.165862244817,-8.29049420357464,"9","84","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,IPA Candi Kuning Pompa 15kw Resv. Bukit Mungsu,,,,,,./0.png
115.172141139108,-8.28436063580934,"10","89","PVC Reduces All Sockets 3""x2""",,,Reducer,,,,,IPA Candi Kuning Pompa 15kw Resv. Bukit Mungsu,,,,,,./0.png
115.168347940622,-8.28977102320521,"11","95","PVC Reducer All Sockets 4""x3""",,,Reducer,,,,,IPA Candi Kuning Pompa 15kw Resv. Bukit Mungsu,,,,,,./0.png
115.175188496447,-8.29641078709941,"12","97","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,IPA Candi Kuning Pompa 15kw Resv. Bukit Mungsu,,,,,,./0.png
115.161822287649,-8.28818993443191,"13","101","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,WTP Bukit Catu,,,,,,./0.png
115.159013685793,-8.29275138420911,"14","112","PVC Reducer 2""x1""",,,Reducer,,,,,WTP Bukit Catu,,,,,,./0.png
115.195405122817,-8.39244491222533,"15","119","PVC Reducer All Sockets 4""x3""",,,Reducer,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.195642659172,-8.39582828393845,"16","121",,"PVC Reducer All Sockets 3""x2""",,Reducer,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.1941431687,-8.40903857949681,"17","127","PVC Reducer All Sockets 2""x1""",,,Reducer,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.198213665771,-8.4156168961694,"18","134","PVC Reducer All Sockets 4""x3""",,,Reducer,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.200650735175,-8.4223127341495,"19","135","PVC Reducer All Sockets 4""x3""",,,Reducer,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.198263813092,-8.43302487385821,"20","146","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.202834325161,-8.39722362377429,"21","161","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,MA Temacun Gravitasi,,,,,,./0.png
115.207006201882,-8.41323728611962,"22","173","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.206290834214,-8.43222953926685,"23","184","PVC Reducer All Sockets 4""x3""",,,Reducer,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.203891873424,-8.45002684524651,"24","194","PVC Reducer All Sockets 2""x11/2""",,,Reducer,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.207284045089,-8.45238245458458,"25","207","PVC Reducer All Sockets 4""x3""",,,Reducer,,,,,MA Kerobokan Kacagan Gravitasi,,,,,,./0.png
115.202710255931,-8.45522712342357,"26","211","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.212512186898,-8.4371301210001,"27","215","PVC Reducer All Sockets 6""x4""",,,Reducer,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.213608622298,-8.43816767531996,"28","217","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.109027839397,-8.53963601483037,"242",,,,,,,"6""x4""",,,,,,,,,./0.png
115.212634512357,-8.44151638860692,"29","219","PVC Reducer All Sockets 2""x11/2""",,,Reducer,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.201344306189,-8.46607243212792,"30","223","PVC Reducer All Sockets 2""x11/2""",,,Reducer,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.201350481275,-8.4660811641149,"31","224","PVC Reducer All Sockets 2""x11/2""",,,Reducer,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.199772610432,-8.46531155886096,"32","225","PVC Reducer All Sockets 11/2""x1""",,,Reducer,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.201420989728,-8.46967746545769,"33","227","PVC Reducer All Sockets 2""x11/2""",,,Reducer,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.200942641372,-8.47963077394968,"34","244","PVC Reducer All Sockets 2""x11/2""",,,Reducer,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.204634483504,-8.46240926978928,"35","260","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.20540249933,-8.46250056056196,"36","264","PVC Reducer All Sockets 11/2""x1""",,,Reducer,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.196218158884,-8.36655124870912,"37","268","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.196213993122,-8.36655533122492,"38","269","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.193922159088,-8.3765113787264,"39","276","PVC Reducer ALl Sockets 4""x3""",,,Reducer,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.193912196756,-8.37652399663804,"40","277","PVC Reducer All Sockets 4""x3""",,,Reducer,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.196273335641,-8.37628400401187,"41","279","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.196587877627,-8.38043836179674,"42","284","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.195015252405,-8.38052570480165,"43","290","PVC Reducer All Sockets 3""x1""",,,Reducer,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.197283451517,-8.38647656067777,"44","292","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.197921315924,-8.39198506908177,"45","294","PVC Reducer All Sockets 2""x1""",,,Reducer,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.202004607049,-8.38280282422495,"46","297","PVC Reducer All Sockets 2""x1""",,,Reducer,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.201285793231,-8.39770076436484,"47","300","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,MA Temacun Gravitasi,,,,,,./0.png
115.202502881072,-8.43130253387035,"48","311","PVC Reducer All Sockets 2""x11/2""",,,Reducer,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.202364776199,-8.43217201821957,"49","314","PVC Reducer All Sockets 11/2""x1""",,,Reducer,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.200297552561,-8.4331808675633,"50","317","PVC Reducer All Sockets 11/2""x1""",,,Reducer,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.161955000001,-8.25758,"51","320",Reducer,,,Reducer,,,,,IPA Candi Kuning Pompa 11Kw,Di depan Pertamina,,,,,./0.png
115.161105000001,-8.26147999999999,"52","322","PVC Reducer 3"" x 2""",,,Reducer,,,,,IPA Candi Kuning Pompa 11Kw,Ke Jalan Kamboja,,,,,./0.png
115.164516000001,-8.26586299999999,"53","334","PVC Reducer 6"" x 4""",,,Reducer,,,,,IPA Candi Kuning Pompa 11Kw,Villa Puri Candi Kuning,,,,,./0.png
115.163617000001,-8.268544,"54","335","PVC Reducer 8"" x 6""",,,Reducer,,,,,IPA Candi Kuning Pompa 11Kw,Di depan bengkel mobil Sari Artha,,,,,./0.png
115.161578926739,-8.25702772262047,"55","351","PVC Reducer All Sockets 4""x3""",,,Reducer,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,Di depan Pertamina,,,,,./0.png
115.162628736,-8.26046827346278,"56","353","PVC Reducer All Sockets 3""x 2""",,,Reducer,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,Ke Jalan Kamboja,,,,,./0.png
115.164516000001,-8.26586299999999,"57","365","PVC Reducer All Sockets 6""x4""",,,Reducer,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,Villa Puri Candi Kuning,,,,,./0.png
115.163590379654,-8.26859546160851,"58","366","PVC Reducer All Sockets 8""x6""",,,Reducer,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,Di depan bengkel mobil Sari Artha,,,,,./0.png
115.164996059514,-8.26348548521974,"59","387","PVC Reducer All Sockets 6""x4""",,,Reducer,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.175585019337,-8.29910914185446,"60","397","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,IPA Candi Kuning Pompa 55 Kw,Di depan toko batako,,,,,./0.png
115.17817144742,-8.31864078301332,"61","437","PVC Reducer All Sockets 3""x2""",,,Reducer,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.185012647961,-8.3226997989539,"62","458","PVC Reducer All Sockets 6""x4""",,,Reducer,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.185706114874,-8.32472635331592,"63","463","PVC Reducer All Sockets 4""x2""",,,Reducer,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.187318893284,-8.33667997711346,"64","479","PVC Reducer All Sockets 4""x3""",,,Reducer,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.188726870122,-8.33909001671688,"65","487","PVC Reducer All Sockets 2""x11/2""",,,Reducer,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.189367895084,-8.35252117538086,"66","493","PVC Reducer All Sockets 4""x3""",,,Reducer,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.190752597352,-8.35912537707917,"67","500","PVC Reducer All Sockets 4""x3""",,,Reducer,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.192322938958,-8.36859349054673,"68","502","PVC Reducer All Sockets 4""x3""",,,Reducer,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.193984781656,-8.37695708648514,"69","506","PVC Reducer All Sockets 4""x2""",,,Reducer,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
