X,Y,id_0,id,jenis_acc,jenis_acc2,jenis_acc_,jenis acc,kondisi ac,diameter a,pembiaya a,alamat acc,sistem pel,lokasi acc,foto acc,status cc,material a,th. pasang,icon_url
115.168179622551,-8.28901138960987,"1","389","CI Riser All Flanges 6""-2.00 m",,,Sipon,,,,,IPA Candi Kuning Pompa 55 Kw,DI depan RM. Nasi Tempong Indra,,,,,./0.png
115.030892021632,-8.47989848279995,"2","837","CI Stop Kran 11/2""",,,Sipon,,,,,MA PANGKUNG KIDANG,,,3 Slah,,,./0.png
115.140909319325,-8.41773909074647,"3","1955","CI Sipon 4"" - 5.00m",,,Sipon,,,,,MA. Katos,Dsn. Taman,,,,,./0.png
115.140737098685,-8.41790463335275,"4","1956","CI Sipon 4"" - 5.00m",,,Sipon,,,,,MA. Katos,Dsn. Taman,,,,,./0.png
115.139950186915,-8.41754837810005,"5","1958","CI Sipon 4"" - 8.00m",,,Sipon,,,,,MA. Katos,Di depan pabrik Ecoqua,,,,,./0.png
115.13982084386,-8.41799630620437,"6","1960","CI Sipon 4"" - 4.00m",,,Sipon,,,,,MA. Katos,Dsn. Penebel Kaja,,,,,./0.png
115.138000584574,-8.42705629336655,"7","1966","CI Sipon 4"" untuk HDPE",,,Sipon,,,,,MA. Katos,Jembatan Dsn. Bitra,,,,,./0.png
115.135549508122,-8.42723090021738,"8","1970","CI Sipon 4"" - 2.00m",,,Sipon,,,,,MA. Katos,Dsn. Asah,,,,,./0.png
115.126766813686,-8.43044981216588,"9","1986","CI Sipon 2"" - 20m",,,Sipon,,,,,MA. Katos,Jembatan Perbatasan Penatahan  dan Tengkudak,,,,,./0.png
115.127178002448,-8.43700278926858,"10","1993","CI Sipon 4"" - 3m",,,Sipon,,,,,MA. Katos,Dsn. Penatahan Kaja,,,,,./0.png
115.118624000001,-8.44370999999999,"11","2015","CI Sipon 1,5""",,,Sipon,,,,,MA. Katos,Pura Batur Kawitan,,,,,./0.png
115.136468116189,-8.55841757768138,"21","2255",,,CI Riser AF 3''-1.50m,Sipon,,,,,,,,,,,./0.png
115.11885725002,-8.44603726885566,"12","2021","CI Sipon 2"" - 4.00m",,,Sipon,,,,,MA. Katos,Dsn. Tagtag,,,,,./0.png
115.147404193096,-8.4243488366042,"13","2064","CI Sipon 3"" - 4.00m",,,Sipon,,,,,MA. Katos,Ds. Karadan,,,,,./0.png
115.141247000001,-8.42925499999999,"14","2069","CI Sipon untuk PVC 4""",,,Sipon,,,,,MA. Gembrong,Ds. Pitra,,,,,./0.png
115.152387281432,-8.47236721858012,"15","2181",CI Riser AF 6''-6.00m,CI Air Valve Double Ball 2'',,Sipon,,,,,Bay Pas,Sebelah Selatan Rumah Penduduk,,,,,./0.png
115.148358268802,-8.49829110891492,"16","2195",CI Riser AF 6''-5.00m,,,Sipon,,,,,Bay Pas,Pos Kambling Tikungan Jalan,,,,,./0.png
115.148039489513,-8.49828758401652,"17","2196",CI Riser AF 6''-7.00m,,,Sipon,,,,,Bay Pas,Timur Pertigaan Jalan,,,,,./0.png
