X,Y,id_0,id,jenis_acc,jenis_acc2,jenis_acc_,jenis acc,kondisi ac,diameter a,pembiaya a,alamat acc,sistem pel,lokasi acc,foto acc,status cc,material a,th. pasang,icon_url
115.139739000001,-8.42950599999999,"1","1964","Wash Out 4"" x 2""",,,Wash Out,,"4""x2""",,,MA. Katos,Jl. Jegu Dsn. Bitra,,,,,./0.png
115.144884000001,-8.414087,"2","2042","Wash Out 4"" x 2""",,,Wash Out,,"4""x2""",,,MA. Katos,Dsn.Babahan Kawan,,,,,./0.png
115.144889000001,-8.41410199999999,"3","2043","Wash Out 4"" x 2""",,,Wash Out,,"4""x2""",,,MA. Katos,Dsn.Babahan Kawan,,,,,./0.png
115.137986070894,-8.44082825582285,"4","2074","Wash Out 2"" x 2""","CI Gate Valve AF 2""",,Wash Out,,"2""x2""",,,MA. Gembrong,Dsn. Nyuling,,,,,./0.png
115.136657009509,-8.43836451635452,"5","2077","Wash Out 3"" x 2""",,,Wash Out,,"3""x2""",,,MA. Gembrong,Ds. Nyeleket,,,,,./0.png
115.174998539407,-8.45627321331461,"6","2167",Penguras 2'',,,Wash Out,,,,,Bay Pas,Kuburan Gangsang,,,,,./0.png
115.151574371256,-8.47871004737357,"7","2182",Penguras,,,Wash Out,,,,,Bay Pas,Pertigaan Jalan Ke Balai Subak,,,,,./0.png
115.151078997415,-8.48540152374691,"8","2184",Penguras,,,Wash Out,,,,,Bay Pas,Selatan Pertigaan Jalan Ke Kuburan Tunjuk,,,,,./0.png
115.13266897163,-8.56112267715092,"9","2296",,,Penguras,Wash Out,,,,,,Selatan Tapal Batas Br. Demung,,,,,./0.png
115.156048450131,-8.54907642380349,"10","2558",,,Penguras,Wash Out,,,,,,Jembatan Air,,,,,./0.png
115.137978101227,-8.55378734375864,"11","2578",,,Penguras,Wash Out,,,,,,Jembatan Air,,,,,./0.png
115.14908652405,-8.52513904253023,"12","2594",,,Penguras,Wash Out,,,,,,Selatan Tapal Batas,,,,,./0.png
115.140213041383,-8.53035731090351,"13","2614",,,Penguras,Wash Out,,,,,,Rumah Penduduk,,,,,./0.png
115.108730481142,-8.5395773439368,"14",,,,,,,"2""",,,,,,,,,./0.png
115.119477985972,-8.51069643295943,"15",,,,,,,"2""",,,,,,,,,./0.png
